AVOIDS ENORMOUS NETWORK PAYLOADS
URL;TRANSFER SIZE
{'lhId': '9-41-UL', 'nodeLabel': 'Afrikaans\nالعربية\nمصرى\nAsturianu\nAzərbaycanca\nتۆرکجه\nБеларуская\nБългарски\nবাংলা…', 'type': 'node', 'path': '1,HTML,1,BODY,3,DIV,2,DIV,6,NAV,2,DIV,0,UL', 'selector': 'div#mw-panel > nav#p-lang > div.vector-menu-content > ul.vector-menu-content-list', 'snippet': '<ul class="vector-menu-content-list">', 'boundingRect': {'width': 131, 'bottom': 2459, 'right': 158, 'left': 27, 'top': 1076, 'height': 1383}} node;Maximum Child Elements text;70 numeric

TASKS
END TIME;START TIME
9.392 ms;-2633.625 ms
12.233 ms;-2624.013 ms
7.7 ms;-2281.347 ms
8.679 ms;-2169.801 ms
21.43 ms;674.867 ms
7.893 ms;698.107 ms
14.113 ms;714.861 ms
223.729 ms;731.542 ms
9.577 ms;984.609 ms
10.9 ms;998.17 ms

SERVE IMAGES IN NEXT-GEN FORMATS
URL;RESOURCE SIZE;POTENTIAL SAVINGS
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Tau_ceti_map.png/147px-Tau_ceti_map.png;17444 bytes;13545.7 bytes

LARGEST CONTENTFUL PAINT ELEMENT
ELEMENT
{'selector': 'div.main-page-body > div > div > p', 'lhId': 'page-63-P', 'boundingRect': {'bottom': 718, 'right': 902, 'width': 670, 'height': 134, 'top': 583, 'left': 232}, 'type': 'node', 'nodeLabel': 'Il successo e i numerosi riconoscimenti pubblici e accademici (fu senatore del …', 'snippet': '<p>', 'path': '1,HTML,1,BODY,2,DIV,4,DIV,6,DIV,0,DIV,2,DIV,0,DIV,2,DIV,3,P'} node

AVOID MULTIPLE PAGE REDIRECTS
URL;TIME SPENT
https://www.wikipedia.it/;230 timespanMs
http://it.wikipedia.org/;190 timespanMs
https://it.wikipedia.org/;150 timespanMs
https://it.wikipedia.org/wiki/Pagina_principale; timespanMs

NETWORK REQUESTS
URL;END TIME;MIME TYPE;PROTOCOL;RESOURCE SIZE;RESOURCE TYPE;START TIME;STATUS CODE;TRANSFER SIZE
https://www.wikipedia.it/;78.57199996942654 ms;text/html text;http/1.1 text;265 bytes;Document text; ms;200 text;704 bytes
https://www.wikipedia.it/header.html;430.6280000018887 ms;text/html text;http/1.1 text;1505 bytes;Document text;96.67200001422316 ms;200 text;1945 bytes
https://www.wikipedia.it/sharedheader.css;539.2640000209212 ms;text/css text;http/1.1 text;17920 bytes;Stylesheet text;440.4189999913797 ms;200 text;18361 bytes
https://www.wikipedia.it/images/logo_yepa_txt.png;712.3479999718256 ms;image/png text;http/1.1 text;2479 bytes;Image text;440.6789999920875 ms;200 text;2920 bytes
http://www.google-analytics.com/urchin.js;541.6889999760315 ms; text; text; bytes;Script text;541.6599999880418 ms;-1 text; bytes
